precinct,address,lon,lat
1,122 spring st,-74.000298,40.72360156
1,76 wooster st,-74.00132959,40.72356704
1,99 spring st,-73.99930651,40.72346903
1,80 greene st,-74.00034429,40.72345255
1,106 spring st,-73.99991143,40.72336884
1,542 bway,-73.99816842,40.72334263
1,546 bway,-73.99785783,40.72333541
1,437 washington st,-74.01012618,40.72330088
1,437 washington st,-74.01012618,40.72330088
1,67 greene st,-74.00111367,40.72329829
1,67 greene st,-74.00111367,40.72329829
1,450 greenwich st,-74.00983293,40.72327159
1,450 greenwich st,-74.00983293,40.72327159
1,65 greene st,-74.00115524,40.72323705
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,96 spring st,-73.99949259,40.72318623
1,70 greene st,-74.00061136,40.72313628
1,428 washington st,-74.01067001,40.72308883
1,530 bway,-73.99834479,40.72307287
1,23 ompson st,-74.0044669,40.72307165
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,32 ompson st,-74.00389193,40.72301206
1,83 mercer st,-74.00029907,40.7229806
1,489 broome st,-74.00273102,40.72293899
1,357 w bway,-74.00299503,40.7229056
1,79 mercer st,-74.00039437,40.72286771
1,355 w bway,-74.00301297,40.72284416
1,350 w bway,-74.00369406,40.72282549
1,350 w bway,-74.00369406,40.72282549
1,350 w bway,-74.00369406,40.72282549
1,44 gra st,-74.00403405,40.72270269
1,43 wooster st,-74.00270755,40.72268245
1,347 w bway,-74.00319544,40.72263057
1,27 gra st,-74.00486787,40.72258928
1,39 vestry st,-74.00917467,40.72252476
1,39 vestry st,-74.00917467,40.72252476
1,458 broome st,-74.00076167,40.72250674
1,37 vestry st,-74.00898391,40.72249766
1,35 vestry st,-74.00890428,40.72248522
1,454 broome st,-74.00060303,40.72242765
1,60 gra st,-74.00332602,40.72240357
1,60 gra st,-74.00332602,40.72240357
1,72 mercer st,-73.99993721,40.72238785
1,72 mercer st,-73.99993721,40.72238785
1,70 laight st,-74.0102019,40.72234037
1,47 greene st,-74.00199161,40.72224845
1,495 bway,-74.0000551,40.72224815
1,165 hudson st,-74.00853969,40.72216311
1,43 ave c,-73.98061287,40.7221583
1,457 broome st,-74.00111802,40.72215158
1,57 gra st,-74.00360753,40.72211596
1,504 bway,-73.99894311,40.72203804
1,71 laight st,-74.01022097,40.72191499
1,33 greene st,-74.00232292,40.72185747
1,399 washington st,-74.01040214,40.72171841
1,408 greenwich st,-74.01011736,40.72164948
1,311 w bway,-74.00378117,40.72163767
1,75 gra st,-74.00265575,40.72161391
1,96 gra st,-74.00170174,40.7215965
1,96 gra st,-74.00170174,40.7215965
1,96 gra st,-74.00170174,40.7215965
1,475 bway,-74.00068246,40.72152323
1,471 bway,-74.00063125,40.72132465
1,431 broome st,-73.99939179,40.72130807
1,40 mercer st,-74.00091997,40.72124423
1,476 bway,-73.99983753,40.72119919
1,19 greene st,-74.00291766,40.72115874
1,472 bway,-74.00007085,40.7211057
1,145 hudson st,-74.00868466,40.72107458
1,145 hudson st,-74.00868466,40.72107458
1,405 greenwich st,-74.00966276,40.72105225
1,29 mercer st,-74.00194124,40.72104722
1,29 mercer st,-74.00194124,40.72104722
1,107 gra st,-74.00138176,40.7209906
1,20 greene st,-74.00244456,40.72097691
1,401 greenwich st,-74.00968494,40.7209166
1,345 canal st,-74.00342224,40.72084199
1,345 canal st,-74.00342224,40.72084199
1,21 mercer st,-74.00212227,40.72083306
1,21 mercer st,-74.00212227,40.72083306
1,185 lafayette st,-73.99833301,40.72061268
1,18 mercer st,-74.00180576,40.72051085
1,5 mercer st,-74.00244893,40.7204466
1,5 mercer st,-74.00244893,40.7204466
1,50 howa st,-74.0018704,40.720384
1,450 bway,-74.00066797,40.7203235
1,53 n moore st,-74.00885844,40.72031214
1,53 n moore st,-74.00885844,40.72031214
1,w bway,-74.00577295,40.72024862
1,w bway,-74.00577295,40.72024862
1,w bway,-74.00577295,40.72024862
1,w bway,-74.00577295,40.72024862
1,w bway,-74.00577295,40.72024862
1,1 mercer st,-74.00254287,40.72012043
1,307 canal st,-74.00213499,40.7200036
1,45 lispena st,-74.00301192,40.71977441
1,315 church st,-74.00377537,40.71977313
1,315 church st,-74.00377537,40.71977313
1,311 church st,-74.00391227,40.71961808
1,44 lispena st,-74.00347356,40.71961394
1,186 franklin st,-74.00963304,40.71959556
1,182 franklin st,-74.00942808,40.71957733
1,182 franklin st,-74.00942808,40.71957733
1,112 hudson st,-74.00836011,40.7195682
1,176 franklin st,-74.00922599,40.71955937
1,176 franklin st,-74.00922599,40.71955937
1,228 w bway,-74.00643682,40.71953699
1,105 hudson st,-74.00900017,40.71952617
1,160 franklin st,-74.00819367,40.71945226
1,152 franklin st,-74.00787554,40.71942191
1,187 franklin st,-74.00983434,40.71928406
1,363 greenwich st,-74.00997089,40.71915589
1,363 greenwich st,-74.00997089,40.71915589
1,363 greenwich st,-74.00997089,40.71915589
1,363 greenwich st,-74.00997089,40.71915589
1,35 walker st,-74.0041627,40.71915146
1,295 church st,-74.00434415,40.71912964
1,295 church st,-74.00434415,40.71912964
1,407 bway,-74.00254775,40.71905566
1,407 bway,-74.00254775,40.71905566
1,153 franklin st,-74.00794535,40.71904981
1,9 white st,-74.00576118,40.71904404
1,9 white st,-74.00576118,40.71904404
1,149 franklin st,-74.00775767,40.71902599
1,217 w bway,-74.00608442,40.71901028
1,20 harrison st,-74.00979458,40.7189449
1,47 walker st,-74.00372018,40.71892065
1,47 walker st,-74.00372018,40.71892065
1,12 harrison st,-74.00951539,40.7189185
1,24 harrison st,-74.00997065,40.7189094
1,211 w bway,-74.00622508,40.71889567
1,408 bway,-74.00181264,40.71878708
1,55 walker st,-74.00338523,40.71878089
1,31 harrison st,-74.0109691,40.71869188
1,106 franklin st,-74.00566002,40.7186636
1,10 leona st,-74.00825636,40.71858319
1,10 leona st,-74.00825636,40.71858319
1,54 white st,-74.00370763,40.71857726
1,54 white st,-74.00370763,40.71857726
1,349 greenwich st,-74.01010215,40.71856271
1,349 greenwich st,-74.01010215,40.71856271
1,5 harrison st,-74.00925839,40.71851563
1,5 harrison st,-74.00925839,40.71851563
1,15 harrison st,-74.00982771,40.7185153
1,7 harrison st,-74.00951322,40.71848003
1,60 white st,-74.00348262,40.71847955
1,345 greenwich st,-74.01009309,40.71843684
1,273 church st,-74.00485989,40.71841577
1,394 bway,-74.00227326,40.71829446
1,190 hester st,-73.99849603,40.71813534
1,97 franklin st,-74.00525309,40.71804596
1,345 chambers st,-74.01384143,40.71801164
1,w bway,-74.00708256,40.71795383
1,w bway,-74.00708256,40.71795383
1,w bway,-74.00708256,40.71795383
1,w bway,-74.00708256,40.71795383
1,119 baxter st,-73.99880239,40.71789366
1,89 franklin st,-74.00497366,40.71787721
1,55 hudson st,-74.00930924,40.71774468
1,55 hudson st,-74.00930924,40.71774468
1,55 hudson st,-74.00930924,40.71774468
1,55 hudson st,-74.00930924,40.71774468
1,77 franklin st,-74.0045265,40.71771123
1,71 franklin st,-74.00435431,40.71763172
1,171 duane st,-74.00967635,40.71755176
1,455 n e ave,-74.01454304,40.71752113
1,455 n e ave,-74.01454304,40.71752113
1,455 n e ave,-74.01454304,40.71752113
1,83 leona st,-74.00476914,40.71749038
1,85 leona st,-74.00469421,40.71745729
1,201 warren st,-74.01367992,40.71714845
1,450 n e ave,-74.01395118,40.71709711
1,315 greenwich st,-74.01051889,40.71693813
1,354 bway,-74.00344782,40.7169142
1,354 bway,-74.00344782,40.7169142
1,134 w bway,-74.00841326,40.71691257
1,154 reade st,-74.01029159,40.71686306
1,154 reade st,-74.01029159,40.71686306
1,155 duane st,-74.00855069,40.7168106
1,150 reade st,-74.01013428,40.71679197
1,137 w bway,-74.00794949,40.71676149
1,146 reade st,-74.00997083,40.71673783
1,300 n e ave,-74.01434675,40.71661429
1,300 n e ave,-74.01434675,40.71661429
1,58 omas st,-74.00728653,40.71659673
1,311 greenwich st,-74.01052054,40.71657149
1,311 greenwich st,-74.01052054,40.71657149
1,134 reade st,-74.0095558,40.71652798
1,16 hudson st,-74.0088636,40.71646876
1,165 chambers st,-74.01047095,40.71636248
1,211 n e ave,-74.01545798,40.71628566
1,325 bway,-74.00496961,40.71623058
1,135 reade st,-74.00974802,40.71622425
1,144 duane st,-74.00797809,40.71611779
1,142 duane st,-74.0078516,40.71606072
1,142 duane st,-74.0078516,40.71606072
1,142 duane st,-74.0078516,40.71606072
1,111 wor st,-74.00349147,40.71605713
1,111 wor st,-74.00349147,40.71605713
1,321 bway,-74.00512175,40.71604985
1,110 reade st,-74.0084645,40.71603869
1,319 bway,-74.00519764,40.71595907
1,295 greenwich st,-74.01074646,40.71586582
1,295 greenwich st,-74.01074646,40.71586582
1,160 chambers st,-74.01037066,40.71581407
1,156 chambers st,-74.01022599,40.71574841
1,315 bway,-74.00538257,40.71573875
1,109 reade st,-74.00861902,40.71570969
1,176 church st,-74.00765044,40.71567136
1,92 warren st,-74.01066887,40.7156328
1,92 warren st,-74.01066887,40.7156328
1,92 warren st,-74.01066887,40.7156328
1,148 chambers st,-74.00991983,40.71560945
1,116 duane st,-74.00676898,40.71557077
1,305 bway,-74.0055998,40.71553166
1,305 bway,-74.0055998,40.71553166
1,80 warren st,-74.01017134,40.71543271
1,80 warren st,-74.01017134,40.71543271
1,299 bway,-74.00590757,40.71517952
1,299 bway,-74.00590757,40.71517952
1,299 bway,-74.00590757,40.71517952
1,299 bway,-74.00590757,40.71517952
1,299 bway,-74.00590757,40.71517952
1,275 greenwich st,-74.01092185,40.71517305
1,275 greenwich st,-74.01092185,40.71517305
1,275 greenwich st,-74.01092185,40.71517305
1,275 greenwich st,-74.01092185,40.71517305
1,275 greenwich st,-74.01092185,40.71517305
1,275 greenwich st,-74.01092185,40.71517305
1,124 chambers st,-74.00886742,40.71512841
1,75 warren st,-74.01029162,40.71501097
1,116 chambers st,-74.00855703,40.71498602
1,48 warren st,-74.00880513,40.71480952
1,71 murray st,-74.01042255,40.7147757
1,69 murray st,-74.01030458,40.71472197
1,67 murray st,-74.01022192,40.71468433
1,57 reade st,-74.00636693,40.71461626
1,96 chambers st,-74.00765783,40.71457715
1,125 barclay st,-74.01295147,40.71457505
1,125 barclay st,-74.01295147,40.71457505
1,125 barclay st,-74.01295147,40.71457505
1,125 barclay st,-74.01295147,40.71457505
1,125 barclay st,-74.01295147,40.71457505
1,125 barclay st,-74.01295147,40.71457505
1,94 chambers st,-74.0075804,40.71454203
1,101 barclay st,-74.01223238,40.71451
1,101 barclay st,-74.01223238,40.71451
1,22 mott st,-73.99853258,40.7144409
1,255 greenwich st,-74.0108695,40.71437028
1,255 greenwich st,-74.0108695,40.71437028
1,255 greenwich st,-74.0108695,40.71437028
1,255 greenwich st,-74.0108695,40.71437028
1,51 murray st,-74.00941435,40.71430691
1,270 bway,-74.00695456,40.71426751
1,280 bway,-74.00565168,40.71423394
1,37 murray st,-74.00892493,40.71405307
1,250 vesey st,-74.01588051,40.7140321
1,250 vesey st,-74.01588051,40.7140321
1,120 church st,-74.00950748,40.71379218
1,120 church st,-74.00950748,40.71379218
